0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua&Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia&Herzegovina,Botswana,Brazil,BruneiDarussalem,Bulgaria,BurkinaFaso,Burma,Burundi,Cambodia,Cameroon,Canada,CapeVerde,CentralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,Congo,CongoDemocratic,CostaRica,CotedIvoire,Croatia,Cuba,Cyprus,CzechRepublic,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,Egypt,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,HolySee(VaticanCity),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,KoreaNorth,KoreaSouth,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,MarshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,NewZealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,PapuaNewGuinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St.Kitts&Nevis,St.Lucia,St.Vincent&TheGrenadines,Samoa,SanMarino,SaoTome&Principe,SaudiArabia,Senegal,Serbia,Seychelles,SierraLeone,Singapore,Slovakia,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,Spain,SriLanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad&Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Azerbaijan,0.524,0.524,0.524,0.08,0.416,0.112,0.524,0.524,0.365,3.12,0,0.08,0.469,0.469,0.112,1.25,1.25,0.08,0.147,0.028,0.365,1.25,0.147,0.524,0.365,2.16,0.27,0.316,0.226,0.27,0.147,1.176,0.185,0.08,0.147,0.416,2.071,0.316,0.08,0.185,0.365,0.365,0.27,0.524,0.469,0.524,1.25,0.524,0.185,0.112,0.27,0.416,1.983,0.226,0.147,0.365,1.176,0.416,0.112,0.524,1.896,0.226,0.27,3.12,3.019,0.316,2.16,0.08,0.185,0.226,0.08,0.112,0.112,0.469,0.185,1.25,0.365,2.071,1.176,4.191,1.25,0.524,1.176,2.071,0.147,2.071,0.524,2.16,0.416,0.028,0.416,0.469,0.469,1.25,0.469,0.27,2.071,0.524,0.27,0.147,1.983,0.08,1.25,0.469,0.524,0.185,0.185,0.524,0.365,0.316,0.469,0.028,0.27,0.416,0.469,0.052,1.176,0.316,0.469,0.469,0.524,0.316,0.185,0.028,0.365,0.524,0.416,0.226,0.226,0.416,1.176,0.469,2.071,0.028,0.27,0.147,0.316,0.416,0.469,2.16,0.524,3.019,2.16,5.362,0.185,0.08,0.112,0.052,0.08,0.226,0.028,2.071,0.365,0.524,0.226,0.27,0.365,0.581,0.524,0.028,0.416,0.469,0.08,1.176,0.469,0.469,0.08,0.147,1.25,1.25,0.524,0.01,0.316,0.416,0.524,0.052,0.112,0.028,0.112,0.524,3.12,0.894,0.028,0.416,2.16,1.176,2.919,1.726,0.469,2.071,0.028,0.469,0.524,0.524,0.365,0.365
Bahamas,0.08,0.08,0.028,0.08,0.08,0.27,0.028,0.147,0.01,0.01,0.08,0,0.08,0.052,0.365,0.112,0.01,0.185,0.112,0.112,0.316,0.052,0.185,0.365,0.112,0.01,0.147,0.112,0.226,0.147,0.08,1.032,0.185,0.147,0.147,0.147,0.962,0.185,0.052,0.112,0.052,0.08,0.052,0.028,1.032,0.028,0.01,0.01,0.08,0.27,0.27,0.185,0,0.185,0.185,0.226,0.112,0.112,0.185,0.01,0,0.112,0.147,0.08,0.316,0.08,0.01,0.316,0.147,0.185,0.185,0.27,3.75,0.01,0.185,0.01,0.27,0,0.01,0.01,0.052,0.052,0.028,0,0.416,0.01,0.052,0.028,0.052,0.112,0.112,0.028,0.08,0.028,0.185,0.147,0.08,0.052,0.27,0.185,0.028,0.185,0.08,0.147,0.08,0.147,0.226,0.01,0.112,0.185,0.147,0.226,0.112,0.147,0.08,0.226,0.147,0.185,0.226,0.112,0.01,0.112,0.147,0.112,0.147,0,0.147,0.147,0.226,0.028,0.028,0.028,0.01,0.147,0.581,0.226,0.185,0.147,0.028,0.01,0.01,0.028,0.01,0,0.185,0.27,0.316,0.226,0.185,0.581,0.112,0.01,0.052,0.028,0.185,0.147,0.028,0.052,0.052,0.08,0.112,0,0.185,0,0.08,0.052,0.147,0.112,0.01,0.01,0.08,0.112,0.226,0.08,0.01,0.147,0.147,0.185,0.27,0.052,0.01,0.226,0.112,0.147,0.01,0.028,0.316,3.75,0.185,0.112,0.147,0.052,0.052,0.112,0.185,0.185
Bahrain,1.176,0.316,1.81,0.052,0.226,0.147,0.365,0.365,0.365,0.469,0.469,0.08,0,2.071,0.08,0.365,1.103,0.052,0.147,0.052,0.226,0.416,0.147,0.365,1.103,0.416,0.226,0.316,0.147,0.316,0.112,0.469,0.08,0.147,0.185,0.316,2.722,0.185,0.112,0.08,0.112,0.185,0.147,0.27,0.316,1.032,0.469,0.365,0.365,0.112,0.147,0.147,4.079,0.147,0.185,0.416,0.27,1.103,0.147,0.416,2.251,0.185,0.316,0.365,3.75,0.27,1.103,0.08,0.08,0.185,0.147,0.112,0.052,0.226,0.08,0.524,0.27,3.019,1.176,5.362,5.484,0.27,0.185,1.896,0.147,1.896,4.191,0.469,1.103,0.028,0.147,0.365,0.27,6.757,0.316,0.316,0.226,1.983,0.147,0.147,1.032,0.08,0.226,0.416,0.27,0.147,0.185,2.071,0.365,0.27,0.416,0.052,0.316,0.316,0.27,0.08,0.185,0.185,0.316,0.27,2.071,0.226,0.147,0.028,1.176,1.103,0.365,0.112,0.185,0.316,0.316,3.222,4.191,0.052,0.147,0.147,0.08,0.226,2.919,0.416,0.27,6.757,0.524,1.896,0.185,0.112,0.112,0.052,0.08,0.08,0.028,5.484,1.032,0.365,0.316,0.27,0.469,0.365,0.27,0.028,0.416,0.469,0.08,0.416,2.071,2.071,0.08,0.185,0.365,0.469,3.019,0.052,0.185,0.416,3.019,0.052,0.08,0.052,0.112,1.983,3.968,0.226,0.028,0.416,0.416,6.757,3.536,1.176,0.27,0.365,0.08,0.316,0.316,3.019,0.316,0.185
Bangladesh,1.25,0.365,0.469,0.028,0.365,0.112,0.469,0.316,2.16,0.524,0.469,0.052,2.071,0,0.08,0.469,1.176,0.052,0.226,1.983,0.27,0.469,0.226,0.524,2.16,0.469,0.27,2.071,0.27,0.469,0.226,2.071,0.112,0.08,0.147,0.469,3.12,0.365,0.08,0.185,0.27,0.226,0.27,0.416,0.416,0.416,0.524,1.176,0.316,0.08,0.226,0.365,2.071,0.226,0.185,0.416,0.27,0.416,0.226,0.524,1.983,0.316,0.27,0.416,2.071,0.416,0.524,0.052,0.147,0.316,0.052,0.08,0.112,1.032,0.185,0.524,0.316,4.303,2.16,2.071,2.071,0.365,0.416,2.071,0.08,2.16,1.25,0.469,1.176,0.01,0.962,2.16,0.185,3.222,0.27,0.469,0.226,0.469,0.316,0.226,1.896,0.052,0.27,0.365,0.27,0.226,0.226,5.607,1.896,0.365,0.365,0.028,0.316,0.416,0.469,0.028,0.147,0.226,0.416,0.147,2.071,0.365,0.226,0.01,3.019,2.071,0.524,0.112,0.226,1.103,1.103,1.25,3.222,0.052,0.27,0.226,0.316,0.416,2.16,0.469,0.365,3.12,0.524,2.071,0.365,0.08,0.08,0.028,0.08,0.08,0.028,2.16,0.469,0.416,0.316,0.27,4.191,0.469,0.27,0.028,0.365,1.176,0.08,1.103,2.16,0.524,0.08,0.226,1.983,1.25,0.524,0.316,0.08,0.416,4.303,0.112,0.147,0.028,0.112,0.469,1.25,0.147,0.01,0.469,0.524,3.12,4.079,2.82,0.365,1.032,0.052,0.469,2.071,0.524,0.416,0.416
Barbados,0.08,0.112,0.08,0.08,0.112,1.896,0.08,0.147,0.028,0.01,0.112,0.365,0.08,0.08,0,0.08,0.416,0.185,0.112,0.08,0.316,0.052,0.185,1.032,0.112,0.028,0.147,0.08,0.185,0.147,0.112,1.896,0.226,0.147,0.112,0.226,0.962,0.27,0.052,0.08,0.08,0.27,0.08,0.052,1.176,0.028,0.028,0.01,0.052,1.726,0.365,0.226,0,0.226,0.226,0.226,0.147,0.147,0.185,0.028,0,0.147,0.226,0.08,0.365,0.147,0.028,1.896,0.226,0.27,0.185,1.032,0.365,0.028,0.27,0.028,0.27,0.01,0.01,0.028,0.08,0.08,0.028,0,1.032,0.01,0.08,0.052,0.08,0.08,0.112,0.028,0.112,0.112,0.226,0.112,0.112,0.112,0.27,0.147,0.052,0.185,0.08,0.185,0.08,0.147,0.226,0.028,0.147,0.147,0.147,0.147,0.112,0.185,0.27,0.185,0.147,0.226,0.226,0.112,0.028,0.147,0.147,0.08,0.112,0.01,0.226,0.185,0.185,0.112,0.052,0.028,0.028,0.112,0.27,0.185,0.226,0.226,0.08,0.01,0.028,0.08,0.01,0,0.185,0.365,3.968,3.858,0.147,0.08,0.08,0.01,0.08,0.052,0.185,0.185,0.028,0.08,0.052,0.08,0.08,0.01,0.147,0,0.112,0.08,0.27,0.08,0.028,0.01,0.185,0.052,0.226,0.112,0.01,0.147,0.112,0.147,1.896,0.08,0.028,0.226,0.08,0.185,0.01,0.052,1.726,3.75,0.185,0.08,0.08,1.643,0.052,0.112,0.226,0.226
Belarus,0.524,0.469,0.469,0.052,0.416,0.112,1.176,2.071,0.416,1.25,1.25,0.112,0.365,0.469,0.08,0,1.25,0.112,0.147,0.028,0.365,0.524,0.185,0.524,0.316,1.326,0.27,0.365,0.27,0.27,0.226,1.25,0.226,0.08,0.08,0.469,2.071,0.416,0.052,0.27,0.365,0.365,0.226,0.524,1.983,0.581,3.12,0.581,0.08,0.112,0.316,0.416,1.176,0.27,0.147,0.416,1.176,0.416,0.185,1.326,1.983,0.226,0.147,1.25,2.071,0.365,1.326,0.08,0.316,0.316,0.112,0.112,0.185,1.176,0.27,1.326,0.365,2.071,0.524,2.071,1.176,0.524,3.12,2.071,0.112,2.071,0.524,2.071,0.416,0.028,0.365,1.176,0.365,0.524,1.896,0.316,3.019,0.524,0.27,0.185,1.896,0.052,4.191,0.416,0.469,0.226,0.226,0.524,0.226,0.316,0.365,0.028,0.27,0.316,0.469,0.052,2.071,0.226,0.469,0.416,0.524,0.27,0.185,0.028,0.316,1.25,0.416,0.27,0.147,0.365,0.524,0.416,0.524,0.052,0.316,0.08,0.365,0.469,0.524,3.12,0.524,0.469,2.16,4.191,0.316,0.08,0.08,0.052,0.052,0.185,0.028,0.524,0.365,2.071,0.27,0.147,0.316,2.16,0.524,0.028,0.226,1.103,0.08,0.581,0.469,0.416,0.052,0.08,1.25,1.25,2.071,0.028,0.894,0.365,0.524,0.028,0.08,0.028,0.112,0.469,3.12,0.962,0.028,0.365,4.303,1.983,2.071,1.81,0.469,1.176,0.028,0.469,2.071,0.524,0.365,0.365
Belgium,1.896,2.16,2.251,0.365,3.12,0.416,2.251,1.103,2.16,4.417,1.25,0.01,1.103,1.176,0.416,1.25,0,0.365,0.962,0,1.896,2.16,0.416,2.251,0.894,3.326,1.643,0.316,1.983,0.701,2.919,3.326,0.828,0.416,0.416,2.251,2.251,2.071,0.365,1.726,3.019,1.983,2.919,4.417,2.251,2.251,4.417,4.417,0.469,0.365,1.176,2.071,3.326,0.962,0.764,0.701,3.019,2.82,0.416,4.417,7.022,1.896,1.482,1.25,5.732,1.25,3.326,0.365,0.962,1.643,0.365,0.416,0.581,2.251,0.962,4.417,1.81,2.251,2.251,2.251,1.326,3.326,3.326,3.326,0.524,2.251,3.12,1.25,3.019,0,0.416,2.251,1.983,2.251,0.469,0.64,4.191,3.222,0.469,1.176,2.251,0.365,4.191,1.983,2.16,0.469,0.365,2.251,0.581,0.962,1.896,0,0.894,0.764,2.251,0,0.962,0.416,0.962,1.983,4.417,0.828,0.894,0,0.764,7.022,1.176,0.894,0.469,2.251,4.417,0.524,2.251,0,1.103,0.416,1.103,2.16,2.16,4.417,3.326,3.12,3.326,4.417,2.625,0.416,0.365,0.365,0.365,0.416,0.365,2.251,3.019,3.326,0.469,1.176,1.81,2.251,4.303,0.365,0.524,3.326,0.416,4.417,1.25,2.071,0.365,0.416,3.326,4.417,2.16,0.028,0.365,1.896,2.251,0.365,0.701,0,0.416,2.16,3.326,0.416,0,2.82,3.326,3.222,7.022,4.417,1.25,1.032,0,2.251,2.16,1.25,0.581,1.726
Belize,0.112,0.08,0.08,0.147,0.112,0.147,0.185,0.112,0.01,0.416,0.08,0.185,0.052,0.052,0.185,0.112,0.365,0,0.052,0.08,0.316,0.08,0.185,0.416,0.08,0.01,0.226,0.112,0.147,0.185,0.052,0.052,0.185,0.112,0.147,0.316,0,0.962,0.08,0.08,0.052,1.032,0.052,0.028,1.103,0.052,0.028,0.01,0.08,0.226,0.894,0.365,0,1.81,0.112,0.185,0.112,0.147,0.185,0.01,0,0.08,0.147,0.08,0,0.052,0.01,0.226,3.968,0.147,0.147,0.185,0.316,0.112,1.896,0.028,0.226,0,0.028,0.028,0.08,0.052,0.052,0.365,0.316,0.416,0.052,0.052,0.052,0.08,0.112,0.052,0.185,0.052,0.185,0.112,0.08,0.08,0.185,0.147,0.01,0.147,0.08,0.226,0.08,0.112,0.226,0.028,0.185,0.147,0.147,0.226,0.112,0.112,4.648,0.185,0.147,0.185,0.185,0.147,0.028,0.147,0.08,0.08,0.112,0.01,0.112,0.416,0.147,0.028,0.052,0.028,0.028,0.226,0.416,0.226,0.316,0.365,0.052,0.01,0.01,0.052,0.01,0,0.112,0.226,0.185,0.185,0.185,0.27,0.112,0.01,0.052,0.052,0.112,0.08,0.028,0.08,0.052,0.147,0.08,0.01,0.147,0.01,0.112,0.052,0.112,0.147,0.028,0.01,0.08,1.403,0.185,0.052,0.01,0.112,0.052,0.112,0.112,0.052,0.01,0.185,0.08,0.112,0.01,0.028,0.962,1.726,0.316,0.147,0.08,0.64,0.08,0.112,0.147,0.185
Benin,0.185,0.226,0.469,0.147,2.071,0.112,0.316,0.185,0.185,0.185,0.147,0.112,0.147,0.226,0.112,0.147,0.962,0.052,0,0.028,0.27,0.27,0.226,0.365,0.185,0.27,1.176,0.112,0.27,0.185,3.12,0.962,0.416,0.316,0.316,0.27,1.403,0.27,0.08,1.176,1.983,0.08,4.303,0.27,1.896,0.226,0.27,1.25,0.185,0.112,0.226,0.147,1.032,0.147,1.983,0.316,0.185,0.365,0.147,0.185,1.983,4.191,1.896,0.226,1.482,5.362,0.185,0.08,0.08,1.176,0.27,0.112,0.27,1.726,0.08,0.226,0.316,0.524,0.185,0.316,0.27,0.147,0.316,0.052,0.147,0.764,0.226,0.08,0.828,0.028,0.185,0.27,0.112,0.185,0.147,0.185,0.147,0.416,0.226,1.103,1.103,0.08,0.226,0.365,0.27,0.365,0.316,0.112,0.112,1.176,0.185,0.052,1.103,0.226,0.226,0.08,0.08,0.185,0.226,0.147,1.983,0.365,0.469,0.028,0.226,0.701,0.147,0.112,1.81,4.191,0.27,0.08,0.226,0.052,0.147,0.08,0.27,0.27,0.112,0.226,1.983,0.64,0.27,1.326,0.365,0.052,0.112,0.052,0.08,0.147,1.81,0.365,2.071,0.316,0.316,1.81,0.08,0.316,0.27,0.028,0.147,2.919,0.147,1.726,0.185,0.316,0.08,0.147,0.226,0.27,0.27,0.052,0.08,0.316,0.08,0.112,1.176,0.028,0.185,0.416,0.226,0.147,0.028,0.416,0.27,0.226,0.028,1.103,0.316,0.112,0.08,0.27,0.185,0.316,0.365,0.416
Bhutan,0.052,0.028,0.01,0.147,0.028,0.08,0.01,0.052,0.01,0,0.028,0.112,0.052,1.983,0.08,0.028,0,0.08,0.028,0,0.028,0.028,0.147,0,0.08,0,0.08,0.112,0.112,0.08,0.028,0,0.052,0.112,0.08,0.01,0,0.01,0.08,0.028,0.028,0.01,0.028,0.01,0,0.01,0,0,0.08,0.112,0.028,0.028,0,0.028,0.052,0.08,0.028,0.052,0.112,0.01,0,0.028,0.08,0.028,0,0.01,0,0.08,0.01,0.028,0.112,0.112,0.052,0.01,0.01,0.01,0.08,2.722,0.01,0.01,0.028,0.01,0.01,0,0.052,0,0.028,0.028,0.028,0.147,0.112,0.01,0.052,0.416,0.112,0.112,0.028,0.01,0.112,0.052,0.01,0.147,0.028,0.08,0.028,0.08,0.147,0.01,0.226,0.052,0.08,0.147,0.052,0.112,0.01,0.147,0.052,0.112,0.112,0.052,0.01,0.052,0.052,0.147,0.185,0,0.028,0.028,0.08,0.01,0.01,0.028,0.01,0.112,0.028,0.112,0.052,0.01,0.01,0,0,0.01,0,0,0.08,0.112,0.08,0.112,0.147,0.112,0.08,0.01,0.01,0.01,0.147,0.052,0.028,0.028,0.028,0.112,0.112,0,0.08,0,0.052,0.028,0.147,0.112,0.01,0,0.028,0.028,0.147,0.052,0.365,0.112,0.08,0.147,0.08,0.028,0,0.147,0.147,0.052,0,0.01,0,0,0.028,0.052,0.147,0,0.01,0.028,0.08,0.052
Bolivia,0.316,0.416,0.469,0.112,0.416,0.226,3.019,0.365,0.316,0.962,0.365,0.316,0.226,0.27,0.316,0.365,1.896,0.316,0.27,0.028,0,0.416,0.185,1.983,0.185,0.365,0.316,0.316,0.27,0.226,0.316,1.103,0.365,0.147,0.185,2.16,1.176,3.12,0.052,0.27,0.365,2.071,0.365,0.416,1.983,0.316,0.416,1.482,0.08,0.226,0.581,2.16,1.643,0.524,0.316,0.416,0.416,0.365,0.185,0.416,1.103,0.316,0.226,0.365,2.251,0.316,0.416,0.27,0.581,0.365,0.185,0.27,0.469,1.896,0.524,0.416,0.416,0.226,0.416,0.416,0.416,0.416,0.524,1.643,0.416,1.81,0.365,0.27,0.316,0.028,0.316,0.469,0.365,0.365,0.226,0.226,0.365,0.469,0.27,0.226,0.365,0.08,0.416,0.416,0.416,0.226,0.226,0.365,0.185,0.27,0.365,0.147,0.27,0.27,2.071,0.147,0.27,0.316,0.365,0.365,0.416,0.365,0.316,0.028,0.27,1.81,0.469,0.524,0.27,0.365,0.416,0.147,0.365,0.08,3.12,0.147,2.071,4.191,0.416,0.416,0.469,0.316,0.416,1.643,0.27,0.226,0.226,0.147,0.112,0.316,0.052,0.316,0.316,0.416,0.226,0.147,0.112,0.416,0.416,0.052,0.147,0.316,0.112,1.896,0.365,0.365,0.185,0.08,1.032,1.103,0.416,0.112,0.185,0.316,0.316,0.112,0.147,0.08,0.316,0.365,0.365,0.226,0.052,0.365,0.316,0.316,1.176,3.858,2.16,0.27,0.08,2.071,0.416,0.365,0.365,0.416
Bosnia & Herzegovina,0.524,1.326,0.524,0.112,0.469,0.112,0.581,0.469,1.176,4.303,1.25,0.052,0.416,0.469,0.052,0.524,2.16,0.08,0.27,0.028,0.416,0,0.147,1.25,0.416,2.16,0.316,0.365,0.185,0.316,0.316,1.25,0.147,0.052,0.147,0.524,2.071,0.469,0.052,0.226,0.416,0.416,0.365,5.607,0.524,0.581,2.16,3.222,0.185,0.08,0.365,0.469,2.071,0.365,0.185,0.416,0.524,0.469,0.147,0.581,4.191,0.316,0.27,0.524,4.191,0.469,2.16,0.052,0.316,0.365,0.052,0.112,0.147,1.983,0.226,2.251,0.469,1.176,2.071,2.16,0.581,2.16,1.25,2.16,0.08,2.071,1.25,0.581,0.469,0.01,0.365,0.524,0.524,2.071,0.316,0.316,0.524,0.524,0.316,0.185,2.071,0.08,0.524,0.469,2.16,0.226,0.147,2.071,0.365,0.316,0.469,0.028,0.365,0.416,0.524,0.052,0.416,0.27,0.416,3.019,0.581,0.27,0.226,0.01,0.416,3.222,0.469,0.27,0.226,0.524,3.12,0.469,2.071,0.028,0.365,0.185,0.365,0.524,0.524,3.222,0.581,1.983,2.16,3.12,0.226,0.052,0.08,0.052,0.08,0.828,0.01,2.071,0.469,3.222,0.226,0.185,0.416,1.326,3.222,0.028,0.365,1.25,0.08,4.303,0.524,0.524,0.08,0.147,4.303,3.222,0.581,0.052,0.147,0.365,0.524,0.147,0.112,0.052,0.052,0.524,3.222,0.147,0.01,0.416,2.16,1.25,3.019,1.81,0.524,0.469,0.052,0.524,0.524,0.524,0.316,0.416
Botswana,0.147,0.112,0.185,0.112,0.828,0.147,0.08,0.112,0.469,0.028,0.147,0.185,0.147,0.226,0.185,0.185,0.416,0.185,0.226,0.147,0.185,0.147,0,0.028,0.185,0.028,0.185,0.147,0.27,0.226,0.27,0.01,0.226,0.185,0.147,0.112,0.962,0.147,0.185,0.226,0.316,0.052,0.226,0.112,0.469,0.147,0.028,0.01,0.226,0.226,0.08,0.147,0.01,0.147,0.226,0.365,0.147,0.316,0.316,0.08,0.316,0.27,0.112,0.185,0.365,0.226,0.028,0.185,0.052,0.185,0.185,0.226,0.112,0.028,0.052,0.028,0.27,0.962,0.052,0.028,0.112,0.08,0.052,0,0.185,0.365,0.112,0.08,1.726,0.112,0.147,0.028,0.147,0.147,0.27,0.27,0.112,0.112,0.365,0.27,0.524,0.226,0.112,0.185,0.147,0.316,0.365,0.028,0.185,0.27,0.226,0.185,0.147,0.316,0.052,0.226,0.185,0.185,0.316,0.147,0.052,0.365,1.81,0.112,0.27,0,0.185,0.112,0.147,0.64,0.052,0.08,0.08,0.147,0.08,0.316,0.27,0.08,0.052,0.01,0.08,0.052,0.028,0.365,0.365,0.185,0.147,0.185,0.27,0.147,0.185,0.028,0.185,0.08,0.316,0.185,0.112,0.185,0.147,0.147,0.147,1.81,0.27,0,0.226,0.185,0.226,0.316,0.416,0.01,0.185,0.08,0.27,0.365,0.028,0.226,0.226,0.226,0.185,0.112,0.01,0.27,0.112,0.316,0.028,0.08,0.962,0.962,0.185,0.185,0.185,0.052,0.052,0.185,1.032,1.896
Brazil,0.416,0.524,2.251,0,4.303,0.028,10,0.365,2.251,2.251,0.524,0.365,0.365,0.524,1.032,0.524,2.251,0.416,0.365,0,1.983,1.25,0.028,0,0.365,2.251,0.226,1.643,0.01,0.185,1.983,4.417,3.642,0.01,0.01,4.417,2.251,5.607,0.01,0.416,2.071,2.16,1.983,2.16,2.251,1.25,2.251,2.251,0.028,0.01,4.303,2.16,2.251,2.071,0.701,0.08,1.032,1.032,0.01,2.251,4.417,1.896,0.185,0.469,4.417,2.16,2.251,0.01,2.071,0.894,0.365,1.032,1.726,2.251,2.071,2.251,0.185,2.251,2.251,2.251,1.326,2.251,2.251,4.417,0.894,3.326,2.071,0.524,1.176,0,0.962,2.251,0.316,2.16,0.028,0.112,0.365,2.16,0.028,0.052,2.251,0,0.416,0.469,0.524,0.08,0.01,2.251,0.08,0.316,0.416,0,0.226,0.27,4.417,0,0.147,0.01,0.27,0.27,2.251,1.562,1.896,0,0.764,3.326,2.071,1.896,0.01,4.417,2.251,0.469,2.251,0,5.484,0.01,4.079,4.417,2.251,2.251,8.396,3.12,2.251,3.326,0.185,0.01,0.01,0,0,0.01,0.416,2.251,4.191,2.251,0.028,0.028,1.896,2.16,0.524,0,0.028,5.732,0.01,7.022,1.25,1.176,1.032,0.028,2.251,3.326,2.16,0.27,0.01,1.032,2.251,0.365,0.147,0,1.176,2.16,3.222,0.01,0,0.365,2.251,3.222,10,10,8.255,0.27,0,7.022,2.16,0.469,0.185,1.81
Brunei Darussalem,0.469,0.226,0.316,0.052,0.226,0.112,0.365,0.27,2.071,0.416,0.365,0.112,1.103,2.16,0.112,0.316,0.894,0.08,0.185,0.08,0.185,0.416,0.185,0.365,0,0.27,0.27,2.071,0.226,2.071,0.112,1.896,0.08,0.147,0.226,0.365,3.968,0.226,0.08,0.112,0.112,0.147,0.226,0.27,0.226,0.226,0.416,0.416,0.316,0.147,0.147,0.316,0.894,0.185,0.147,0.316,0.147,0.316,0.27,0.416,1.562,0.226,0.27,0.226,1.81,0.27,0.316,0.08,0.112,0.27,0.112,0.112,0.112,0.226,0.112,0.416,0.226,1.983,4.191,1.81,0.469,0.27,0.27,0.365,0.112,4.191,1.103,0.416,0.365,0.028,0.316,4.191,0.08,0.524,0.27,1.983,0.08,0.365,0.27,0.185,0.27,0.112,0.147,0.27,0.226,0.185,0.27,5.484,0.416,0.316,0.27,0.08,0.27,0.365,0.365,0.08,0.112,0.147,0.469,0.112,1.103,0.226,0.185,0.028,0.524,0.365,0.524,0.08,0.27,0.316,0.365,1.896,2.071,0.185,0.226,0.316,0.27,0.365,4.303,0.365,0.147,1.983,0.416,1.032,0.27,0.08,0.112,0.08,0.147,0.08,0.052,1.983,0.316,0.27,0.27,0.226,4.191,0.316,0.226,0.08,0.365,0.416,0.112,0.226,0.581,0.416,0.112,0.226,0.416,0.365,0.469,1.81,0.147,0.27,4.191,0.226,0.147,0.08,0.112,0.365,0.469,0.185,0.028,0.365,0.316,1.176,1.562,1.176,0.316,0.469,0.112,0.27,4.191,0.469,0.316,0.365
Bulgaria,1.983,2.16,1.326,0.01,1.176,0.01,2.16,2.071,1.25,3.326,2.16,0.01,0.416,0.469,0.028,1.326,3.326,0.01,0.27,0,0.365,2.16,0.028,2.251,0.27,0,0.226,0.316,0.028,0.764,0.365,1.403,0.185,0.01,0.028,1.326,2.251,0.524,0.01,0.27,0.469,0.416,0.416,2.251,2.251,3.222,4.417,3.326,0.028,0.01,0.416,0.469,2.251,0.316,0.185,0.27,2.071,1.032,0.028,2.251,4.417,0.365,0.147,4.303,4.417,1.176,4.417,0.01,0.316,0.27,0.01,0.028,0.147,2.251,0.27,4.417,0.416,2.251,2.251,2.251,2.251,3.222,3.326,3.326,0.052,2.251,1.326,2.16,0.416,0,1.81,2.16,1.983,2.16,0.226,0.27,0.581,2.16,0.08,0.052,2.16,0.01,2.16,0.469,3.12,0.052,0.028,0.64,0.08,0.27,0.469,0,0.226,0.226,1.326,0.01,2.82,0.08,1.896,1.176,2.251,0.316,0.27,0,0.112,4.417,0.416,0.27,0.028,1.25,3.222,0.469,2.251,0.01,0.365,0.01,0.416,0.581,0.581,4.417,2.251,1.25,8.538,5.732,0.147,0.01,0.01,0.01,0.01,0.052,0.01,0.64,0.469,4.417,0.028,0.052,0.316,3.222,1.326,0,0.147,2.251,0.028,4.417,0.469,1.983,0.028,0.01,2.251,3.326,2.16,0.01,0.052,0.316,1.326,0.01,0.112,0.01,0.028,1.25,5.732,0.112,0,0.365,4.417,0.581,4.417,2.251,0.524,1.032,0.01,2.16,2.16,1.176,0.112,0.962
